Cavity #60       
                 	Frequency	R/Q       	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	8.8302e9 	7765.5    	606830.	1   	0.                
   lr(2) =       	3.0751e9 	3901.5    	310240.	1   	0.                
   lr(3) =       	2.549e9  	81610.    	6229.9 	1   	0.                
   lr(4) =       	1.7041e9 	51754.    	1654.5 	1   	0.                
   lr(5) =       	1.7381e9 	42511.    	1755.8 	1   	0.                
   lr(6) =       	1.8702e9 	39137.    	1610.  	1   	0.                
   lr(7) =       	1.8558e9 	25852.    	1598.9 	1   	0.                
   lr(8) =       	1.8711e9 	42890.    	789.99 	1   	0.                
   lr(9) =       	1.872e9  	40762.    	653.48 	1   	0.                
   lr(10) =      	1.6766e9 	11687.    	707.34 	1   	0.                
/                
